ItemCode,ItemName,English,French,English_(UK)
11LTCT0I,"mychef concept 10 GN 1/1 serie L transversal con TSC, SIN autolimpieza y apertura IZQ",,"mychef concept 10 GN 1/1 série L transversel avec TSC, SANS autonettoyage et ferrage G",
11LTCTAD,mychef concept 10 GN 1/1 serie L transversal con TSC autolimpieza y apertura DCH,"MyChef Concept 10 GN 1/1 serie L Transversal: with TSC, with MyCare and RIGHT opening",mychef concept 10 GN 1/1 série L transversel avec TSC autonettoyage et ferrage D,
11LTCTAI,mychef concept 10 GN 1/1 serie L transversal con TSC autolimpieza y apertura IZQ,,mychef concept 10 GN 1/1 série L transversel avec TSC autonettoyage et ferrage G,
11LTETAD,mychef evolution 10 GN 1/1 serie L transversal con TSC autolimpieza y apertura DCH,"MyChef Evolution 10 GN 1/1 serie L Transversal with: TSC, MyCare and RIGHT opening",mychef evolution 10 GN 1/1 série L transversel avec TSC autonettoyage et ferrage D,
11LTETAI,mychef evolution 10 GN 1/1 serie L transversal con TSC autolimpieza y apertura IZQ,,mychef evolution 10 GN 1/1 série L transversel avec TSC autonettoyage et ferrage G,
12LTC00D,"mychef concept 10 GN 2/1 serie L transversal SIN TSC, SIN autolimpieza y apertura DCH",,"mychef concept 10 GN 2/1 série L transversel SANS TSC, SANS autonettoyage et ferrage D",
12LTC00I,"mychef concept 10 GN 2/1 serie L transversal SIN TSC, SIN autolimpieza y apertura IZQ",,"mychef concept 10 GN 2/1 série L transversel SANS TSC, SANS autonettogaye et ferrage G",
12LTC0AD,"mychef concept 10 GN 2/1 serie L transversal SIN TSC, autolimpieza y apertura DCH","Concept L 10 GN 2/1 Transversal without TSC, with MyCare and Right opening","mychef concept 10 GN 2/1 série L transversel SANS TSC, autonettoyage et ferrrage D",
12LTC0AI,"mychef concept 10 GN 2/1 serie L transversal SIN TSC, autolimpieza y apertura IZQ",,"Concept L 10GN 2/1 sans TSC, avec autonettoyage et ferrage G",
12LTCT0D,"mychef concept 10 GN 2/1 serie L transversal con TSC, SIN autolimpieza y apertura DCH",,"mychef concept 10 GN 2/1 série L transversel avec TSC, SANS autonettoyage et ferrage D",
12LTCT0I,"mychef concept 10 GN 2/1 serie L transversal con TSC, SIN autolimpieza y apertura IZQ",,"mychef concept 10 GN 2/1 série L transversel avec TSC, SANS autonettouage et ferrage G",
12LTCTAD,mychef concept 10 GN 2/1 serie L transversal con TSC autolimpieza y apertura DCH,"MyChef Concept 10 GN 2/1 serie L Transversal: with TSC, MyCare and RIGHT opening",mychef concept 10 GN 2/1 série L transversel avec TSC autonettoyage et ferrage D,
12LTCTAI,mychef concept 10 GN 2/1 serie L transversal con TSC autolimpieza y apertura IZQ,,mychef concept 10 GN 2/1 série L transversel avec TSC autonettoyage et ferrage G,
12LTETAD,mychef evolution 10 GN 2/1 serie L transversal con TSC autolimpieza y apertura DCH,,mychef evolution 10 GN 2/1 série L transversel avec TSC autonettoyage et ferrage D,
12LTETAI,mychef evolution 10 GN 2/1 serie L transversal con TSC autolimpieza y apertura IZQ,,mychef evolution 10 GN 2/1 série L transversel avec TSC autonettoyage et ferrage G,
18003064,Conjunto cableado para TEKTHERM +,,,
2015-FESCE066,Mesa entrada salida central con estante 600x600x850,Central entrance exit table with 600x600x850 shelf,Table de sortie d'entrée centrale avec étagère 600x600x850,
3EAI0006,,Hot trolley: humidity and wheels 700x805x1150 Power 3000 W,Chariot chaud : humidit‚ et roues 700x805x1150 Puissance 3000 W,
41SLC00D,"mychef concept 4 GN 1/1 serie S longitudinal SIN TSC, SIN autolimpieza y apertura DCH",,"mychef concept 4 GN 1/1 série S longitudinel SANS TSC, SANS autonettoyage et ferrage D",
41SLC00I,"mychef concept 4 GN 1/1 serie S longitudinal SIN TSC, SIN autolimpieza y apertura IZQ",,"mychef concept 4 GN 1/1 série S longitudinel SANS TSC, SANS autonettoyage et ferrage G",
41SLC0AD,"mychef concept 4 GN 1/1 serie S longitudinal SIN TSC, con autolimpieza y apertura DCH","MyChef Concept 4 GN 1/1 serie S long.: without TSC, with MyCare and RIGHT opening","mychef concept 4 GN 1/1 série S longitudinel SANS TSC, avec autonettoyage et ferrage D",
41SLC0AI,"mychef concept 4 GN 1/1 serie S longitudinal SIN TSC, con autolimpieza y apertura IZQ",,"mychef concept 4 GN 1/1 série S longitudinel SANS TSC, avec autonettoyage et ferrage G",
41SLCT0D,"mychef concept 4 GN 1/1 serie S longitudinal con TSC, SIN autolimpieza y apertura DCH",,"mychef concept 4 GN 1/1 série S longitudinel avec TSC, SANS autonettoyage et ferrage D",
41SLCT0I,"mychef concept 4 GN 1/1 serie S longitudinal con TSC, SIN autolimpieza y apertura IZQ",,"mychef concept 4 GN 1/1 série S longitudinel avec TSC, SANS autonettoyage et ferrage G",
